participant_id,condition,participant_uid,image_path,trial_type,user_response,boundary_position,RT,encoding_RT
00015,Both_item_task,Both_item_task_00015,Foils\scenes9.jpg,Foil,Lure,,39.89425810000012,
00015,Both_item_task,Both_item_task_00015,Objects\019a.jpg,Target,Target,Post,6.398373999999876,3.8734421999999995
00015,Both_item_task,Both_item_task_00015,Objects\132b.jpg,Lure,Target,Pre,3.927204600000096,1.074307299999873
00015,Both_item_task,Both_item_task_00015,Foils\074a.jpg,Foil,Lure,,4.478696299999683,
00015,Both_item_task,Both_item_task_00015,Objects\107a.jpg,Target,Target,Mid,2.937008599999899,1.7675787000000582
00015,Both_item_task,Both_item_task_00015,Foils\010a.jpg,Foil,Foil,,3.211495199999717,
00015,Both_item_task,Both_item_task_00015,Scenes\019b.jpg,Lure,Target,Mid,11.32226129999981,1.546438699999953
00015,Both_item_task,Both_item_task_00015,Scenes\107a.jpg,Target,Target,Post,2.42294770000035,2.0977832999999464
00015,Both_item_task,Both_item_task_00015,Objects\109a.jpg,Target,Target,Post,2.0172622999998566,2.196643899999799
00015,Both_item_task,Both_item_task_00015,Objects\169a.jpg,Target,Target,Pre,2.405648100000235,3.3993619999998828
00015,Both_item_task,Both_item_task_00015,Objects\135a.jpg,Target,Target,Mid,1.6755098000003272,1.3643168999999489
00015,Both_item_task,Both_item_task_00015,Scenes\092a.jpg,Target,Target,Pre,1.6334277999999358,1.1532216999999036
00015,Both_item_task,Both_item_task_00015,Objects\161a.jpg,Target,Lure,Post,6.297442000000046,1.3953957999999602
00015,Both_item_task,Both_item_task_00015,Foils\050a.jpg,Foil,Lure,,8.84967400000005,
00015,Both_item_task,Both_item_task_00015,Scenes\143a.jpg,Target,Target,Post,2.231737600000088,1.0306110999999871
00015,Both_item_task,Both_item_task_00015,Objects\113a.jpg,Target,Target,Post,2.484892899999977,1.6770395999999437
00015,Both_item_task,Both_item_task_00015,Scenes\192b.jpg,Lure,Lure,Post,2.1730924999997114,1.490520300000071
00015,Both_item_task,Both_item_task_00015,Scenes\169b.jpg,Lure,Foil,Pre,3.0753239999999096,1.304124100000081
00015,Both_item_task,Both_item_task_00015,Objects\055b.jpg,Lure,Lure,Mid,1.8026826999998773,1.4207946999999876
00015,Both_item_task,Both_item_task_00015,Objects\036b.jpg,Lure,Target,Mid,1.8872466000002528,2.7940765999999257
00015,Both_item_task,Both_item_task_00015,Scenes\061b.jpg,Lure,Target,Post,5.619577899999968,1.3330979000002117
00015,Both_item_task,Both_item_task_00015,Objects\018b.jpg,Lure,Target,Pre,5.636353500000041,2.4415680000001885
00015,Both_item_task,Both_item_task_00015,Scenes\069a.jpg,Target,Target,Pre,2.779906900000242,1.4265700999999351
00015,Both_item_task,Both_item_task_00015,Objects\100b.jpg,Lure,Target,Post,0.9919403999997484,1.2823487999999088
00015,Both_item_task,Both_item_task_00015,Scenes\018b.jpg,Lure,Lure,Pre,2.97717590000002,1.3656458000000384
00015,Both_item_task,Both_item_task_00015,Objects\150a.jpg,Target,Target,Mid,1.4807780000001003,1.3699521000000914
00015,Both_item_task,Both_item_task_00015,Objects\093b.jpg,Lure,Lure,Pre,1.7686985999998797,2.0101119999999355
00015,Both_item_task,Both_item_task_00015,Objects\157b.jpg,Lure,Lure,Pre,1.5235725000002276,0.974377000000004
00015,Both_item_task,Both_item_task_00015,Scenes\083a.jpg,Target,Target,Pre,1.8892469999996135,1.4242861999998695
00015,Both_item_task,Both_item_task_00015,Foils\scenes4.jpg,Foil,Foil,,1.9770950000001903,
00015,Both_item_task,Both_item_task_00015,Foils\scenes8.jpg,Foil,Lure,,2.610597299999881,
00015,Both_item_task,Both_item_task_00015,Objects\190a.jpg,Target,Target,Pre,1.9914597000001777,1.3046720999998342
00015,Both_item_task,Both_item_task_00015,Objects\173a.jpg,Target,Target,Post,1.5666741000000002,1.0498861000000943
00015,Both_item_task,Both_item_task_00015,Objects\073a.jpg,Target,Lure,Pre,1.68148599999995,1.5775660999997854
00015,Both_item_task,Both_item_task_00015,Scenes\035a.jpg,Target,Target,Post,2.300464400000237,2.4280361000000994
00015,Both_item_task,Both_item_task_00015,Foils\scenes15.jpg,Foil,Foil,,1.6477242000000842,
00015,Both_item_task,Both_item_task_00015,Foils\113a.jpg,Foil,Foil,,1.2149813999999424,
00015,Both_item_task,Both_item_task_00015,Foils\093b.jpg,Foil,Foil,,1.5489047999999457,
00015,Both_item_task,Both_item_task_00015,Foils\scenes27.jpg,Foil,Foil,,1.616478299999926,
00015,Both_item_task,Both_item_task_00015,Scenes\123b.jpg,Lure,Foil,Pre,4.030524599999808,0.9460292999999638
00015,Both_item_task,Both_item_task_00015,Objects\051b.jpg,Lure,Target,Mid,1.6281945000000633,1.7663430000000062
00015,Both_item_task,Both_item_task_00015,Foils\scenes28.jpg,Foil,Foil,,1.60383180000008,
00015,Both_item_task,Both_item_task_00015,Scenes\121b.jpg,Lure,Lure,Mid,3.672738300000219,2.1435498999999254
00015,Both_item_task,Both_item_task_00015,Foils\scenes13.jpg,Foil,Foil,,1.690251399999852,
00015,Both_item_task,Both_item_task_00015,Scenes\126a.jpg,Target,Target,Pre,10.952073800000107,2.1681791999999405
00015,Both_item_task,Both_item_task_00015,Scenes\117a.jpg,Target,Lure,Pre,2.802909400000317,1.4133789999998498
00015,Both_item_task,Both_item_task_00015,Scenes\045a.jpg,Target,Lure,Pre,2.935524700000314,2.0212157999999363
00015,Both_item_task,Both_item_task_00015,Scenes\007b.jpg,Lure,Target,Post,1.2916917000002286,3.310561900000039
00015,Both_item_task,Both_item_task_00015,Scenes\067a.jpg,Target,Target,Pre,1.2109027000001331,1.131582299999991
00015,Both_item_task,Both_item_task_00015,Objects\038a.jpg,Target,Lure,Post,1.770862599999873,1.2830575000000408
00015,Both_item_task,Both_item_task_00015,Objects\182b.jpg,Lure,Target,Post,1.648378800000046,1.4121539000000212
00015,Both_item_task,Both_item_task_00015,Objects\085b.jpg,Lure,Target,Pre,1.4439891000001808,1.1785039999999751
00015,Both_item_task,Both_item_task_00015,Scenes\078a.jpg,Target,Target,Pre,0.981038500000068,2.196534500000098
00015,Both_item_task,Both_item_task_00015,Foils\073a.jpg,Foil,Foil,,1.861174800000299,
00015,Both_item_task,Both_item_task_00015,Scenes\184a.jpg,Target,Target,Mid,1.311063500000273,1.5144505999999185
00015,Both_item_task,Both_item_task_00015,Scenes\043b.jpg,Lure,Lure,Post,1.8005560999999943,1.7979087999999592
00015,Both_item_task,Both_item_task_00015,Scenes\004a.jpg,Target,Target,Post,1.4738680999998903,0.8770846999998412
00015,Both_item_task,Both_item_task_00015,Foils\026a.jpg,Foil,Foil,,1.0053223999998409,
00015,Both_item_task,Both_item_task_00015,Objects\139b.jpg,Lure,Lure,Post,1.3919809999997597,1.7818394999999327
00015,Both_item_task,Both_item_task_00015,Objects\028b.jpg,Lure,Foil,Pre,0.8500167000001966,4.311439199999995
00015,Both_item_task,Both_item_task_00015,Scenes\188b.jpg,Lure,Foil,Mid,1.04427110000006,2.1525727000000643
00015,Both_item_task,Both_item_task_00015,Scenes\013a.jpg,Target,Target,Pre,1.245450400000209,1.416704299999992
00015,Both_item_task,Both_item_task_00015,Foils\066a.jpg,Foil,Foil,,1.0737148999996862,
00015,Both_item_task,Both_item_task_00015,Scenes\109b.jpg,Lure,Lure,Pre,1.3154286999997566,1.4897733000000244
00015,Both_item_task,Both_item_task_00015,Scenes\015a.jpg,Target,Target,Mid,1.7387369999996736,2.3118571999998494
00015,Both_item_task,Both_item_task_00015,Scenes\128a.jpg,Target,Lure,Mid,3.0304258999999547,0.9347342999999456
00015,Both_item_task,Both_item_task_00015,Objects\068a.jpg,Target,Target,Post,1.0669413000000532,2.400107000000162
00015,Both_item_task,Both_item_task_00015,Foils\scenes5.jpg,Foil,Foil,,0.9861794999997072,
00015,Both_item_task,Both_item_task_00015,Objects\146a.jpg,Target,Target,Mid,1.1581378999999288,2.197294100000136
00015,Both_item_task,Both_item_task_00015,Objects\118b.jpg,Lure,Lure,Post,1.3748719999998684,2.2842182000001685
00015,Both_item_task,Both_item_task_00015,Scenes\189a.jpg,Target,Target,Post,1.6952697000001535,1.9817978000000949
00015,Both_item_task,Both_item_task_00015,Scenes\158b.jpg,Lure,Lure,Post,1.2501315999998042,2.895912299999964
00015,Both_item_task,Both_item_task_00015,Objects\058a.jpg,Target,Target,Mid,1.6610770000002049,1.0065700999998626
00015,Both_item_task,Both_item_task_00015,Foils\scenes20.jpg,Foil,Foil,,1.0822081000001162,
00015,Both_item_task,Both_item_task_00015,Foils\090a.jpg,Foil,Foil,,1.029967299999953,
00015,Both_item_task,Both_item_task_00015,Objects\086a.jpg,Target,Foil,Post,1.524637999999868,1.308860500000037
00015,Both_item_task,Both_item_task_00015,Objects\126a.jpg,Target,Target,Mid,1.8844020999999884,2.924165099999982
00015,Both_item_task,Both_item_task_00015,Objects\043a.jpg,Target,Foil,Pre,1.900098799999796,1.273636399999987
00015,Both_item_task,Both_item_task_00015,Scenes\176b.jpg,Lure,Lure,Post,1.4933295999999243,2.2291938999999275
00015,Both_item_task,Both_item_task_00015,Scenes\136b.jpg,Lure,Lure,Post,1.567474499999662,2.7520790999999463
00015,Both_item_task,Both_item_task_00015,Objects\167b.jpg,Lure,Target,Pre,1.0834663999999066,1.238466100000096
00015,Both_item_task,Both_item_task_00015,Objects\050a.jpg,Target,Target,Post,1.3251868999996077,2.8455957999999555
00015,Both_item_task,Both_item_task_00015,Foils\scenes26.jpg,Foil,Lure,,2.772294500000044,
00015,Both_item_task,Both_item_task_00015,Objects\047a.jpg,Target,Foil,Pre,2.482354400000077,1.5643528000000515
00015,Both_item_task,Both_item_task_00015,Foils\020b.jpg,Foil,Foil,,2.828820799999903,
00015,Both_item_task,Both_item_task_00015,Objects\133b.jpg,Lure,Lure,Mid,1.2460931999999048,1.5896812999999383
00015,Both_item_task,Both_item_task_00015,Objects\065a.jpg,Target,Target,Pre,1.7177403999999117,1.1417134999999234
00015,Both_item_task,Both_item_task_00015,Scenes\068a.jpg,Target,Target,Mid,1.177756600000066,1.9491863999999168
00015,Both_item_task,Both_item_task_00015,Objects\060b.jpg,Lure,Foil,Post,1.6111834999996972,6.630259099999876
00015,Both_item_task,Both_item_task_00015,Objects\035b.jpg,Lure,Lure,Pre,1.6701579999999012,1.914628300000004
00015,Both_item_task,Both_item_task_00015,Foils\017a.jpg,Foil,Foil,,1.3544569000000592,
