participant_id,condition,image_path,trial_type,user_response,boundary_position,RT
00001,item_only,Scenes\006a.jpg,Target,Target,Pre,6.531768200002261
00001,item_only,Objects\061a.jpg,Target,Target,Mid,1.8705257999972675
00001,item_only,Foils\081a.jpg,Foil,Lure,,
00001,item_only,Objects\039b.jpg,Lure,Lure,,
00001,item_only,Objects\033a.jpg,Target,Lure,Mid,0.8663764999982959
00001,item_only,Objects\175b.jpg,Lure,Lure,,
00001,item_only,Objects\117a.jpg,Target,Target,Mid,3.099169699999038
00001,item_only,Objects\134b.jpg,Lure,Foil,,
00001,item_only,Scenes\010a.jpg,Target,Target,Mid,3.6109467999995104
00001,item_only,Scenes\041b.jpg,Lure,Foil,,
00001,item_only,Objects\176a.jpg,Target,Lure,Mid,0.6900387000023329
00001,item_only,Foils\scenes7.jpg,Foil,Lure,,
00001,item_only,Scenes\101a.jpg,Target,Target,Mid,0.971287599997595
00001,item_only,Foils\066a.jpg,Foil,Target,,
00001,item_only,Scenes\030a.jpg,Target,Lure,Mid,1.3302889999977197
00001,item_only,Objects\057b.jpg,Lure,Lure,,
00001,item_only,Foils\034a.jpg,Foil,Foil,,
00001,item_only,Foils\scenes20.jpg,Foil,Foil,,
00001,item_only,Foils\010a.jpg,Foil,Foil,,
00001,item_only,Foils\scenes15.jpg,Foil,Lure,,
00001,item_only,Objects\092b.jpg,Lure,Lure,,
00001,item_only,Scenes\149a.jpg,Target,Target,Pre,2.865747600000759
00001,item_only,Scenes\137b.jpg,Lure,Lure,,
00001,item_only,Objects\130b.jpg,Lure,Target,,
00001,item_only,Objects\098b.jpg,Lure,Lure,,
00001,item_only,Objects\164a.jpg,Target,Target,Pre,3.9002208999991126
00001,item_only,Objects\154b.jpg,Lure,Lure,,
00001,item_only,Foils\scenes28.jpg,Foil,Foil,,
00001,item_only,Foils\090a.jpg,Foil,Foil,,
00001,item_only,Foils\scenes25.jpg,Foil,Foil,,
00001,item_only,Objects\192b.jpg,Lure,Lure,,
00001,item_only,Objects\108b.jpg,Lure,Lure,,
00001,item_only,Scenes\065a.jpg,Target,Target,Mid,0.8681338999995205
00001,item_only,Scenes\116b.jpg,Lure,Lure,,
00001,item_only,Foils\scenes14.jpg,Foil,Foil,,
00001,item_only,Objects\081a.jpg,Target,Target,Mid,3.794431300000724
00001,item_only,Scenes\096b.jpg,Lure,Lure,,
00001,item_only,Objects\051b.jpg,Lure,Target,,
00001,item_only,Objects\163a.jpg,Target,Target,Pre,0.8966096000003745
00001,item_only,Foils\097a.jpg,Foil,Foil,,
